"# Serious Injuries","# Visible Injuries","Agency Name (Crash Level) ","Date","Intersection Name (from Crash Report)","KABCO Severity","Light Conditions (Crash Level)","Location at Impact (Crash Level) ","Manner of Collision (Crash Level) ","Roadway (From Crash Report)","Surface Condition (Crash Level) ","Time","Safety Equipment (Crash Level) ","Weather Conditions (Crash Level)","# of Fatalities per Crash","Latitude","Longitude","Geolocated City","Geolocated County","First Harmful Event (Unit Order)","Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)","Most Harmful Event (Crash Level)"
0,0,"Atlanta Police Department","06/21/2025","Pryor St Sw and Ralph David Abernathy Blvd Sw","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Driveway Intersection","Not a Collision with Motor Vehicle","Ralph David Abernathy Blvd Sw","Dry","20:00:00","[""Lap and Shoulder Belt Used"",""Bicycle Helmet""]","Clear",0,33.73685111,-84.39458868,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Pedal-Cycle""]",,"[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","06/26/2025","Ellis St Ne and Peachtree Center Ave Ne","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Bicycle Lane","Not a Collision with Motor Vehicle","Peachtree Center Ave Ne","Dry","08:10:00","[""Unknown"",""None Used""]","Clear",0,33.75857391,-84.38608008,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","06/26/2025","Central Ave Sw and Memorial Dr Sw","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Memorial Dr Sw","Dry","15:20:00","[""Unknown"",""Unknown"",""Booster Seat (Properly Used)"",""Unknown""]","Clear",0,33.74689025,-84.39281415,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","06/26/2025","Northside Dr Sw and Metropolitan Pkwy Sw","(O) No Injury","Dark-Not Lighted","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Metropolitan Pkwy Sw","Dry","22:21:00","[""Unknown"",""None Used""]","Clear",0,33.7438616,-84.40832487,"Atlanta","Fulton","[""Pedestrian"",""Pedal-Cycle""]","[""Other Unit Contributed to Crash"",""No Signal/Improper Signal""]","[""Pedestrian"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","06/26/2025","Decatur St Se and Hilliard St Se","(O) No Injury","Daylight","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Decatur St Se","Dry","14:08:00","[""Unknown"",""Bicycle Helmet""]","Clear",0,33.75020806,-84.3764706,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","[""Aggressive Driving"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","06/28/2025","Northside Dr Sw and Martin Luther King Jr Dr Sw","(C) Possible Injury / Complaint","Daylight","Off Roadway - Sidewalk","Not a Collision with Motor Vehicle","Martin Luther King Jr Dr Sw","Dry","17:10:00","[""None Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.75386352,-84.40281055,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Utility Pole""]","[""Disregard Stop Sign/Signal"",""Other Unit Contributed to Crash""]","[""Pedal-Cycle"",""Other Object (Not Fixed)""]"
0,0,"Atlanta Police Department","06/30/2025","13Th St Nw and W Peachtree St Nw","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","13Th St Nw","Dry","22:39:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.78572862,-84.38781503,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Other Unit Contributed to Crash"",""Disregard Other Traffic Control""]","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Georgia Tech Police Department","06/30/2025","State St Nw and North Ave Nw","(O) No Injury","Daylight","On Roadway - In Crosswalk","(None)","North Ave Nw","Dry","17:00:00","[""Bicycle Helmet"",""Unknown""]","Clear",0,33.77122782,-84.39900441,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedal-Cycle"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","07/02/2025","Lenox Rd Ne and Cheshire Bridge Rd Ne","(C) Possible Injury / Complaint","Daylight","Off Roadway - Sidewalk","Not a Collision with Motor Vehicle","Lenox Rd Ne","Dry","18:20:00","[""Unknown"",""Bicycle Helmet""]","Clear",0,33.8158665,-84.35184821,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Inattentive or Other Distraction (Distracted)","[""Pedal-Cycle"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","07/03/2025","N Highland Ave Ne and Saint Augustine Pl Ne","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Saint Augustine Pl Ne","Dry","16:00:00","[""Unknown"",""Bicycle Helmet""]","Clear",0,33.77443962,-84.3524987,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Other Object (Not Fixed)""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","07/07/2025","10Th St Ne and Monroe Dr Ne","(O) No Injury","Daylight","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","10Th St Ne","Dry","14:01:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.78176769,-84.36982982,"Atlanta","Fulton","[""Pedal-Cycle"",""Pedal-Cycle""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedal-Cycle"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","07/07/2025","Bell St Se and Decatur St Se","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Decatur St Se","Dry","08:35:00","[""Unknown"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.74976792,-84.37952224,"Atlanta","Fulton","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","07/07/2025","Mclendon Ave Ne and Candler Park Dr Ne","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Candler Park Dr Ne","Dry","12:55:00","[""Unknown"",""Unknown""]","Clear",0,33.76485587,-84.33942426,"Atlanta","DeKalb","[""Pedestrian"",""Pedestrian""]","[""Inattentive or Other Distraction (Distracted)"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
1,0,"Atlanta Police Department","07/08/2025","Haynes St Sw and Peters St Sw","(A) Suspected Serious Injury","Daylight","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Peters St Sw","Dry","07:55:00","[""Unknown"",""None Used""]","Clear",0,33.74973372,-84.39904,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Changed Lanes Improperly"",""Failure to Yield""]","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
